time,c,k
7.436,127.0489673484442,14923.391512278133
7.486,187.58940042671884,15400.338350914366
7.536,161.35355814504643,15313.1964554048
7.586,105.9019794762088,14261.31958275017
7.636,257.06661430137586,12737.068561670509
7.686,150.18063011675946,13370.45802178862
7.736,99.29713574830335,14596.340683716578
7.786,203.3585083440145,16109.764786553007
7.836,150.75823503796676,15654.385510482945
7.886,93.65708415017079,14743.622365619283
7.936,172.26076536336387,13165.922707269388
7.986,166.34904088053744,13218.334641331317
8.036,93.51988168468623,13992.78081569315
8.086,152.8270055926748,15549.597640313279
8.136,184.2584858097532,15838.654382936364
8.186,107.60216481682518,15149.139336989645
8.236,128.50821090805903,13809.174527324523
8.286,185.39229119209134,13250.723411200086
8.336,115.32453574797066,13741.773680795211
8.386,108.44588573731694,14827.444044536756
8.436,182.7894934642951,15615.411887425007
8.486,138.21920962149335,15325.774757578107
8.536,93.7920698677427,14530.574138532633
8.586,224.8710464364266,13305.541120326785
8.636,163.7757161733547,13563.521314324606
8.686,166.1244790498012,15194.795732063467
8.736,234.47934007424396,15875.728284861843
8.786,148.9151721817869,15279.036081013213
8.836,127.83665911767602,14097.10042044323
8.886,212.95406894424477,13049.39752988888
8.936,147.89271904562918,13525.987650758325
8.986,100.55471859154339,14537.907613256324
9.036,191.00725898081336,15891.46513354788
9.086,160.32655956168145,15642.057815994674
9.136,97.26126060150828,14863.797627673322
9.186,168.73243731464916,13476.329605489538
9.236,171.8646932042641,13451.40774936562
9.286,100.16956933569364,14057.980018534787
9.336,147.71450845155192,15347.966344713988
9.386,183.6072518934681,15653.871886842173
9.436,116.04640794072607,15185.9662209663
9.486,118.01592759835731,14113.924879732614
9.536,191.80853140473764,13439.668541023902
9.586,127.68312142305037,13834.507256935793
9.636,108.69801185589112,14723.47788701107
9.686,192.31018675471884,15517.60164047024
9.736,147.50501367879815,15265.993310954778
9.786,97.64468391823688,14603.970663246544
9.836,183.36927720881243,13585.120276388807
9.886,162.5496993762437,13708.826300023988
9.936,99.39305057767277,14273.411994901277
9.986,170.42825097758123,15188.213389031465
10.036,173.97622242110054,15207.741845004492
10.086,110.42886665842477,14831.48157720401
10.136,148.67209794979655,13970.487329360605
10.186,190.99055243653686,13716.82610675093
10.236,116.0453695423932,14090.552052858742
10.286,134.13095342289938,14834.275003071127
10.336,189.10045358026602,15149.631148337186
10.386,152.56111407131093,15053.80289806327
10.436,76.67794645313025,14718.884754128627
10.486,278.5096514590041,12968.79223676261
10.536,169.74647966666663,13499.302319166442
10.586,95.22314441345385,14405.693751548735
10.636,203.96912389738128,16027.038179835541
10.686,176.98124867575146,15821.736527868992
10.736,96.60057305159326,14960.688200283492
10.786,163.7475093709674,13402.303629277838
10.836,177.10464442835485,13287.019749132294
10.886,101.04802506186671,13933.61370226852
10.936,136.0445951457503,15259.922289194696
10.986,188.2720907742496,15739.567751580487
11.036,118.44001585219874,15240.850615976377
11.086,115.89700186690177,14096.61152321549
11.136,190.44835173027826,13368.940248508481
11.186,128.8406030241008,13757.525668251375
11.236,104.63715259687417,14664.083670118966
11.286,186.5376177407176,15526.3093105679
11.336,152.03051180006833,15321.703854559917
11.386,96.84963804012729,14624.616547684158
11.436,259.33517676313073,13390.750827238946
11.486,156.37242712496175,13870.13746214238
11.536,196.15401961624775,15361.554418872087
11.586,233.00679146445248,15648.56215629817
11.636,141.00135332003595,15091.010319140745
11.686,146.11198210714528,13882.210870385466
11.736,211.84736891847868,13255.243184946154
11.786,136.15660973971382,13734.887167830017
11.836,111.93580373629248,14748.561271595943
11.886,191.6166328379744,15646.43065155231
11.936,150.7145509193254,15372.720385211822
11.986,101.90425528442283,14641.094481452912
12.036,184.60000449629328,13603.664776649903
12.086,162.97142482187445,13733.919342167881
12.136,99.37105600174624,14305.794996576067
12.186,165.55446323488405,15319.14967998526
12.236,174.01030504277801,15374.860699547004
12.286,109.78713621438202,14950.756092312273
12.336,137.4931956339958,14076.796075964672
12.386,189.1442729446349,13751.648177733145
12.436,120.09325138450143,14089.62086505699
12.486,126.82894107947469,14823.149603679818
12.536,190.0745841190548,15244.93938530973
12.586,139.8078829585543,15020.80704403152
12.636,104.5087049423131,14490.863173958754
12.686,189.6086512440566,13852.085931242545
12.736,153.22768773236783,14003.550995341975
12.786,104.11857658240561,14441.820797963059
12.836,180.0689539006913,15014.952633800798
12.886,167.08923638901868,14966.240602555063
12.936,107.5024264452656,14686.168591565116
12.986,155.03185021989725,14090.11013780208
13.036,189.70963365928026,13947.940347916692
13.086,120.49610152082178,14209.124760887422
13.136,149.17302763740258,14680.261351457848
13.186,189.59294520134927,14823.09434548965
13.236,134.3681055286681,14671.928132924286
13.286,124.99085009390033,14313.939433145033
13.336,199.47873069461502,14025.769943414143
13.386,146.47303903259646,14171.254179480638
13.436,122.53080611105503,14440.351766837386
13.486,193.1638548123969,14711.206127290587
13.536,161.0668934104518,14645.408469563421
13.586,111.76580440014416,14414.139372619693
13.636,193.6677488601722,14124.606634797663
13.686,159.13554415308906,14192.371578951568
13.736,112.84070886615794,14340.935477776286
13.786,156.69241046769764,14581.570019415649
13.836,261.62905179200385,14707.024898187818
13.886,136.42517967736987,14667.62720385235
13.936,325.6773228559298,13442.215155591373
13.986,206.67679637440958,13837.822406398973
14.036,112.95710760592945,14362.337923213006
14.086,204.4486718194084,15548.459910082378
14.136,206.04161583279335,15557.55963362677
14.186,111.75377182035135,14972.953219477258
14.236,163.3994312001421,13877.489362097962
14.286,185.07752271529168,13737.897339655585
14.336,116.12144693393711,14182.891899477112
14.386,141.53940257537104,14993.063140551882
14.436,189.07316690370882,15312.628627973383
14.486,129.30086737337717,15012.613224066721
14.536,117.8800482976526,14279.400264803164
14.586,201.33210218910617,13690.09020905531
14.636,141.962858331924,13950.90390878077
14.686,110.45274552195306,14541.945432852783
14.736,190.15130374093684,15122.285224080571
14.786,156.03725578083112,14976.626470308787
14.836,105.97943420040832,14566.928049274798
