time,x,y,z
3.613999999,0.0,0.0,-1.0947664122795686e-05
3.714,-4.159881063969806e-05,-8.627082381806872e-11,-0.00019580713706091046
3.814,-0.00020632574160117656,-1.19415505261955e-10,-0.00011558131518540904
3.913999999,0.016039758920669556,5.211937192939331e-08,8.950760820880532e-05
4.014,0.05560454726219177,-3.9687654407316586e-07,-0.0012187933316454291
4.113999999,0.07956371456384659,-9.243113936463487e-07,-0.0013212572084739804
4.213999999,0.11217083781957626,-2.065314220089931e-06,-0.0018390548648312688
4.314,0.1434651017189026,-3.396944748601527e-06,-0.0012141808401793242
4.413999999,0.16965541243553162,-4.679690391640179e-06,-0.0011529457988217473
4.513999999,0.20682965219020844,-6.6334582697891165e-06,-0.0006656762561760843
4.613999999,0.2387218177318573,-8.124905434669927e-06,-0.0012509373482316732
4.713999999,0.2874378263950348,-9.893665264826268e-06,-0.0027509373612701893
4.814,0.33539944887161255,-1.1171295227541123e-05,-0.002843144116923213
4.913999999,0.3965133726596832,-1.1758229447877966e-05,-0.0035017034970223904
5.014,0.4632725119590759,-1.170873292721808e-05,-0.0030506220646202564
5.113999999,0.5261067152023315,-1.0177848707826342e-05,-0.002463684184476733
5.214,0.5941454768180847,-8.469502063235268e-06,-0.001908624661155045
5.314,0.6573109030723572,-7.3115384111588355e-06,-0.001046683988533914
5.414,0.7240369915962219,-7.641514457645826e-06,-0.0012207849649712443
5.514,0.7888187766075134,-9.568778295943048e-06,-0.0017110302578657866
5.614,0.8538459539413452,-1.2625073395611253e-05,-0.002461084397509694
5.714,0.9199212193489075,-1.6069907360360958e-05,-0.0030863098800182343
5.814,0.9838368892669678,1.7683865962681011e-06,-0.003005431266501546
5.914,1.0501227378845215,0.001176987774670124,-0.0031752565409988165
6.014,1.1136350631713867,0.01136372797191143,-0.004125416744500399
6.114,1.1765210628509521,0.03110925853252411,-0.004655934404581785
6.214,1.2367830276489258,0.06028588488698006,-0.004619416315108538
6.314,1.2893143892288208,0.09610717743635178,-0.004196057096123695
6.414,1.3361948728561401,0.13905766606330872,-0.0036111546214669943
6.514,1.3794647455215454,0.1886160522699356,-0.0033645376097410917
6.614,1.4216954708099365,0.2373201698064804,-0.002441075863316655
6.714,1.4647034406661987,0.28686225414276123,-0.0026984817814081907
6.814,1.5076435804367065,0.33629608154296875,-0.002761086216196418
6.914,1.5502748489379883,0.3853643834590912,-0.0028567113913595676
7.014,1.5935876369476318,0.4352140426635742,-0.003890681080520153
7.114,1.6358667612075806,0.48387274146080017,-0.004668824840337038
7.214,1.6789593696594238,0.5334678888320923,-0.004923029337078333
7.314,1.721297264099121,0.582194983959198,-0.004737637005746365
7.414,1.763992428779602,0.6313336491584778,-0.00435458030551672
7.514,1.8066190481185913,0.6803937554359436,-0.0035506931599229574
7.614,1.8491284847259521,0.7293193936347961,-0.0036492447834461927
7.714,1.8919817209243774,0.7786403298377991,-0.0038154057692736387
7.814,1.9346364736557007,0.8277323842048645,-0.0038057249039411545
7.914,1.9775800704956055,0.8771564364433289,-0.004580829292535782
8.013999999,2.020296812057495,0.9263190031051636,-0.005401670001447201
8.114,2.063115358352661,0.9755984544754028,-0.005578727461397648
8.213999999,2.1058802604675293,1.024816870689392,-0.005899661686271429
8.314,2.148587465286255,1.0739690065383911,-0.00539171788841486
8.413999999,2.191429376602173,1.1232765913009644,-0.004454446025192738
8.513999999,2.2341840267181396,1.1724845170974731,-0.00474842032417655
