time,x,y,z,q0,q1,q2,q3,dx,dy,dz
4.149,7.701962744388191e-05,0.00041878771543921915,0.1708917094692003,-0.001978011737137215,0.0001545704190879688,-2.2168506054773117e-05,0.999998031541118,3.123195170740783e-05,-0.00012484665073102347,7.124957260853179e-06
4.15,7.70043179480767e-05,0.00041876694341391816,0.17089179805387059,-0.001978894684842419,0.00015428538637135442,-2.2168627377751646e-05,0.9999980298382581,-7.909371211812332e-06,-3.669550496339797e-05,0.00011170432786324658
4.151,7.69866697460313e-05,0.0004187072692039688,0.1708918844648327,-0.001978383599481925,0.00015411568609725594,-2.214221514000634e-05,0.9999980308762668,-2.122766176375058e-05,-1.2285630887327177e-05,7.788277789648508e-05
4.152,7.700012485380332e-05,0.0004185576426867999,0.17089191161720585,-0.0019778218365695873,0.00015437101101824745,-2.2142254722696717e-05,0.9999980319481105,1.6791035929553887e-05,-0.0001127513638835645,2.4456412342150368e-05
4.153,7.69731052418751e-05,0.0004185419322932462,0.17089201416583152,-0.0019786889040676087,0.00015405987131499098,-2.2142160806204065e-05,0.9999980302808109,-1.9375775320716052e-05,-3.1641426839840075e-05,0.00012176963920631199
4.154,7.694351744975864e-05,0.00041848487435809493,0.17089211022057324,-0.001978170019901464,0.0001538689157514461,-2.2117055025072967e-05,0.9999980313373447,-3.313238001608334e-05,-9.698783052890082e-06,8.802338902732517e-05
4.155,7.694749250347218e-05,0.0004183367437815625,0.17089214728785534,-0.0019776022193440375,0.00015410165566573378,-2.2118849534789027e-05,0.9999980324245135,7.581625113593162e-06,-0.00011150896213769324,3.439067150741515e-05
4.156,7.692971104043703e-05,0.0004183708240348686,0.17089207708471196,-0.001979155735328776,0.00015392465185504187,-2.2118867760379934e-05,0.9999980293783246,-9.172491530556979e-06,2.6412272525418604e-05,-3.991280719927265e-05
4.157,7.692155909256211e-05,0.00041823962265356043,0.17089196932140638,-0.001977792796277125,0.00015400370363194787,-2.212342348756274e-05,0.9999980320625979,-7.601603797096137e-06,-3.091788171624379e-05,-0.00010816044681588215
4.158,7.694084890568792e-05,0.0004180829387091104,0.17089210356925694,-0.001977640623185381,0.00015412536020705536,-2.2129582712806424e-05,0.9999980323446743,2.3478177233207868e-05,-0.000161373534216386,8.087152834066049e-05
4.159,7.693211189007327e-05,0.00041810111798093507,0.17089202881632365,-0.001979293824593319,0.00015394461846912828,-2.2128037230315285e-05,0.9999980291017381,1.473857058524927e-06,6.368520762812895e-06,-4.430777403722506e-05
4.16,7.693739648103617e-05,0.00041794823820893984,0.17089187618131624,-0.0019778890902926497,0.00015407499657498974,-2.213715572725629e-05,0.9999980318608575,6.492575268988493e-06,-3.98287673412167e-05,-0.00015308292394154886
4.161,7.697032390658434e-05,0.0004177835482388374,0.17089198007099293,-0.001977757493806019,0.00015423345323989937,-2.2149331196639515e-05,0.9999980320964361,3.699391431299576e-05,-0.00016599219550824827,5.02518171621306e-05
4.162,7.697502338731756e-05,0.0004178044812778217,0.17089188053546575,-0.0019794265761438135,0.00015408324033075381,-2.2146455048977795e-05,0.9999980288172169,1.4943446778345844e-05,9.258467503040193e-06,-6.916240677244296e-05
4.163,7.699423173893651e-05,0.00041765242142533925,0.17089170362506712,-0.0019780409665626835,0.00015424341998832277,-2.215342189768441e-05,0.9999980315341266,2.0406704058926903e-05,-3.929401003297504e-05,-0.00017735721449380597
4.164,7.703914781897897e-05,0.00041748711324564834,0.17089179069885987,-0.001977920226482008,0.00015442885730050673,-2.21658951076541e-05,0.9999980317440526,4.880814722414618e-05,-0.00016625912594472157,3.3314810795867206e-05
4.165,7.705451133811452e-05,0.0004175123948862875,0.17089167772693203,-0.0019795984099518975,0.000154303202153834,-2.2160834998072785e-05,0.9999980284428338,2.5622289911335914e-05,1.382229980160222e-05,-8.263848702383068e-05
4.166,7.708425534417204e-05,0.0004173627636990264,0.1708914877643461,-0.0019782246637269152,0.00015448780314594523,-2.2165791972739443e-05,0.99999803113275,3.092196148715962e-05,-3.715051448861638e-05,-0.00019040830597628796
4.167,7.71380932171831e-05,0.00041719812977027593,0.1708915659423136,-0.0019781121965951084,0.00015469569268639755,-2.2178368214911483e-05,0.9999980313228123,5.7585485364608075e-05,-0.00016535008490515401,2.4344117376245418e-05
4.168,7.714261238244303e-05,0.00041715390655229273,0.17089163160430534,-0.0019790330381092886,0.00015443746769015868,-2.2187597676903198e-05,0.9999980295405654,1.1872399557558874e-05,-6.811341017522328e-05,9.283624756941902e-05
4.169,7.714491375742672e-05,0.0004170730722271587,0.17089169969919227,-0.0019785535225176356,0.00015428975001941729,-2.2171529616742516e-05,0.9999980305125881,-1.2695441365674023e-06,-3.313406806208247e-05,5.8698111650262345e-05
4.17,7.717328573973092e-05,0.0004169107030890495,0.17089170956796634,-0.0019780114738886813,0.00015457203917474045,-2.2177100031095713e-05,0.9999980315411977,3.1231915001724894e-05,-0.00012484698298992312,7.125056402623273e-06
4.171,7.715797626398618e-05,0.0004168899307181677,0.17089179815274852,-0.001978894421898936,0.00015428700699098672,-2.2177220896878088e-05,0.9999980298383381,-7.909363093393773e-06,-3.669579076055331e-05,0.00011170443351003295
4.172,7.714032779170045e-05,0.000416830257457312,0.1708918845638153,-0.001978383335633078,0.0001541173061118769,-2.2150809122002322e-05,0.9999980308763489,-2.1227674778153748e-05,-1.2285926407203325e-05,7.788289338952396e-05
4.173,7.71537827849787e-05,0.0004166806309525757,0.17089191171627074,-0.0019778215728180385,0.00015437263079346678,-2.215084863076389e-05,0.9999980319481918,1.6791003560100242e-05,-0.00011275172887625337,2.4456546998587448e-05
4.174,7.712676319541587e-05,0.00041666492018393715,0.1708920142650365,-0.0019786886406297902,0.0001540614915822695,-2.2150754286036957e-05,0.9999980302808923,-1.937576473033833e-05,-3.164174202995093e-05,0.00012176976856381885
4.175,7.709717512919334e-05,0.0004166078631564648,0.17089211031990584,-0.0019781697555828113,0.00015387053538492166,-2.2125648996624693e-05,0.9999980313374283,-3.3132399094166406e-05,-9.699110516298658e-06,8.8023525773454e-05
4.176,7.71011500587112e-05,0.00041645973256379835,0.17089214738728997,-0.0019776019551286943,0.00015410327503296146,-2.212744343761013e-05,0.9999980324245963,7.581583024325547e-06,-0.00011150935385803267,3.439082573894592e-05
4.177,7.708336857829783e-05,0.0004164938124500738,0.1708920771842982,-0.0019791554713964564,0.0001539262716338954,-2.2127461192468526e-05,0.9999980293784075,-9.172537591443832e-06,2.6411941346917742e-05,-3.991267708628028e-05
4.178,7.707521631162915e-05,0.00041636261189391865,0.17089196942111542,-0.0019777925315177065,0.00015400532299620717,-2.2132017380834647e-05,0.9999980320626819,-7.6016485761138525e-06,-3.0918223955519864e-05,-0.00010816031940681364
