time,x,y,z,q0,q1,q2,q3,dx,dy,dz
10.033,0.00011986830613094236,-0.0001064122601126223,0.1708916606965827,-0.001978917810260621,0.0001549010657491215,-2.4542233367585008e-05,0.9999980296418783,1.1859959060001892e-05,-6.817447085769759e-05,9.284903968728039e-05
10.034,0.00011987051969840596,-0.00010649279801441872,0.17089172880306056,-0.0019784381434652773,0.00015475316978758087,-2.452631062958239e-05,0.9999980306142753,-1.2824552903018807e-06,-3.3191978971749194e-05,5.8708896345435796e-05
10.035,0.0001198988301595235,-0.00010665515238607126,0.17089173868403593,-0.001977896252399699,0.00015503540165200813,-2.4531854170095938e-05,0.9999980316423763,3.1223059085080235e-05,-0.00012492129794923061,7.145335704343288e-06
10.036,0.00011988352707611557,-0.00010667599030128086,0.17089182727142307,-0.001978779274553438,0.0001547505355239514,-2.4531825729239466e-05,0.9999980299395814,-7.903985932728727e-06,-3.6759745494103655e-05,0.00011171288698158783
10.037,0.00011986579866721917,-0.00010673538406767671,0.17089191368988838,-0.0019782679653659293,0.00015458067357255787,-2.450555111383498e-05,0.9999980309781369,-2.1228361291377184e-05,-1.2359402193805456e-05,7.789382152740773e-05
10.038,0.00011987920466037148,-0.00010688501029959647,0.1708919408487692,-0.001977706297711805,0.0001548359518103218,-2.4505551977838094e-05,0.9999980320496167,1.676712710517305e-05,-0.00011283763289433891,2.4469130698729738e-05
10.039,0.0001198521875062111,-0.0001069008071451933,0.17089204339798206,-0.001978573370819332,0.00015452500133997783,-2.450533393175811e-05,0.9999980303825248,-1.938135881281225e-05,-3.1725391755961694e-05,0.0001217750314810209
10.04,0.00011982251305034528,-0.00010695761473600188,0.1708921394571913,-0.0019780542056784963,0.00015433391102956278,-2.448038333422016e-05,0.9999980314397194,-3.3137502773398724e-05,-9.800280439112038e-06,8.803402915164796e-05
10.041,0.00011982644806964827,-0.00010710576483978523,0.17089217652575192,-0.001977486441332982,0.0001545666148028456,-2.448214786810139e-05,0.9999980325266447,7.5312025672351225e-06,-0.00011158792798429085,3.439602781998545e-05
10.042,0.00011980864266603798,-0.00010707175889838366,0.17089210632140378,-0.00197903988453813,0.00015438980987689293,-2.4482020455606905e-05,0.9999980294808349,-9.220813202029854e-06,2.6344253841864656e-05,-3.9913833156049084e-05
10.043,0.00011980035985554472,-0.00010720272669203284,0.17089199855525106,-0.0019776766235961108,0.00015446883312010754,-2.448668142733553e-05,0.9999980321655412,-7.622106389679664e-06,-3.102200281689295e-05,-0.0001081619683878561
10.044,0.0001198196105049093,-0.0001073594468410067,0.170892132787969,-0.001977524448823274,0.00015459044289467902,-2.4492809755743675e-05,0.9999980324475402,2.3470575549894037e-05,-0.0001615162037359827,8.08722942160421e-05
10.045,0.00011981087650006256,-0.00010734137706101758,0.17089205803698282,-0.0019791776995050207,0.0001544098406072182,-2.4491118390796773e-05,0.9999980292047681,1.467404076302554e-06,6.245063510204347e-06,-4.430879455716629e-05
10.046,0.00011981605452800369,-0.00010749404718178948,0.17089190539887802,-0.001977772749106354,0.0001545401466191716,-2.4500361179044432e-05,0.9999980319640777,6.491950475836526e-06,-3.995369110744729e-05,-0.00015308470431799314
