time,x
1.842,-4.100579194896488e-05
1.942,-0.00017668594794263028
2.042,-0.00037411902537226355
2.142,-0.0005674374481827815
2.242,-0.0007444830498831889
2.342,-0.0009310059324276648
2.442,-0.001130920240791184
2.5419999989999997,-0.001319334309796862
2.6419999990000003,-0.0014336506675923998
2.742,-0.0015050926103130572
2.842,-0.0016110160506457754
2.942,-0.0017916964150106063
3.041999999,-0.0021716433265285004
3.142,-0.0026848640251190114
3.242,-0.0032652126364664446
3.342,-0.00406441340835432
3.442,-0.004961046479380328
3.542,-0.005795666481057269
3.642,-0.006635980022492719
3.742,-0.0074160429226473494
3.842,-0.008079180659830931
3.942,-0.008573993221892933
4.042,-0.008840612587872481
4.142,-0.009142427141599404
4.242,-0.009637820969432512
4.342,-0.010174626963449535
4.442,-0.010568930880751459
4.542,-0.010813376772999676
4.642,-0.01121688200649448
4.742,-0.011677824129263277
4.842,-0.01192838029415092
4.942,-0.012303393368240127
5.042,-0.01289566686282715
5.142,-0.013361231889187723
5.242,-0.013626050347691545
5.342,-0.013623992113076987
5.442,-0.013266998972164634
5.542,-0.012720353298809222
5.642,-0.012039343514319437
5.742,-0.011348978525079843
5.842,-0.010840861652157316
5.942,-0.010510195603770955
6.042,-0.010482506221189607
6.142,-0.01078449886553864
6.242,-0.011173016290241646
6.342,-0.011491182957095284
6.442,-0.011602987271707136
6.541999999,-0.011454337981737898
6.641999999,-0.011269718727982048
6.741999999,-0.011150471127854845
6.841999999,-0.011119708865597712
6.941999999,-0.011377121441277406
7.041999999,-0.011853597815003196
7.141999999,-0.012253764482661996
7.241999999,-0.012416337561733054
7.341999999,-0.012267337414186306
7.441999999,-0.011920572243816981
7.541999999,-0.011564956962188786
7.641999999,-0.01110020607711506
7.741999999,-0.010520118391699841
7.841999999,-0.010055646449277447
7.941999999,-0.009710318863125565
8.041999999,-0.00940650807549681
8.141999999,-0.009066859975153097
8.241999999,-0.0085366314361081
8.341999999,-0.007860249284143405
8.441999999,-0.007312007433628367
8.541999999,-0.006955179962270542
8.641999999,-0.006592260719005977
8.741999999,-0.006199939080401792
8.841999999,-0.005844724061149011
8.941999999,-0.005462580730149257
9.041999999,-0.0050230670846676964
9.141999999,-0.004566649159866789
9.241999999,-0.00407414534296733
9.341999999,-0.00360553372625231
9.441999999,-0.0032771798735378435
9.541999999,-0.002938825512234183
9.641999999,-0.002459043219613012
9.741999999,-0.0020058984831983714
9.841999999,-0.0016371826713579922
9.941999999,-0.0013565927288328075
10.041999999,-0.0012271966612931436
10.141999999,-0.0011029357329986568
10.241999999,-0.0008488639623172453
10.341999999,-0.0005512470959991864
10.441999999,-0.0001819548990027427
10.541999999,0.0002990250212387319
10.641999999,0.0006755796553145429
10.741999999,0.0009090168722071424
10.841999999,0.0010477544585946615
10.941999999,0.0010094881620584565
11.041999999,0.0008619926440989777
11.141999999,0.000733290101091096
11.241999999,0.000686843535539064
11.341999999,0.0007441292603650066
11.441999999,0.0008161574212847444
11.541999999,0.0007921774787712039
11.641999999,0.0007219125904958207
11.741999999,0.0005948032147496826
11.841999999,0.00023900894142227127
11.941999999,-0.00030648571588838764
12.041999999,-0.0008738548249216735
12.141999999,-0.0013490376139354164
12.241999999,-0.0016791191954954156
12.341999999,-0.0019681825748771426
12.441999999,-0.0023037900004847264
12.541999999,-0.002681611549675251
12.641999999,-0.0031640620596251655
12.741999999,-0.003939048722619862
12.841999999,-0.005089398005897853
12.941999999,-0.006400038221407544
13.041999999,-0.007506201993158186
13.141999999,-0.00819082274398662
13.241999999,-0.008575278158750626
13.341999999,-0.008832879563542683
13.441999999,-0.009009863910608028
13.541999999,-0.009241876327989623
13.641999999,-0.009664950556296384
13.741999999,-0.010256060736123488
13.841999999,-0.011002741684236964
13.941999999,-0.011815916663638758
14.041999999,-0.01247578174324783
14.141999999,-0.012902135419694342
14.241999999,-0.013093242624846221
14.341999999,-0.01307529938687206
14.441999999,-0.012928421451418034
14.541999999,-0.012708715154085504
14.641999999,-0.012505881221303207
14.741999999,-0.012450627535833012
14.841999999,-0.012645292162341348
14.941999999,-0.013020504028223256
15.041999999,-0.013341381182968506
15.141999999,-0.013434095669168384
15.241999999,-0.013320964371091428
15.341999999,-0.0131531548381213
15.441999999,-0.01304117804268093
15.541999999,-0.013067330389838521
15.641999999,-0.01340114527170014
15.741999999,-0.014076897070942368
15.841999999,-0.01479349748851734
15.941999999,-0.015320642722242895
16.041999999,-0.015580423353716318
16.141999999,-0.01558818161569163
16.241999999,-0.015502084598979088
16.341999999,-0.015373358085695042
16.441999999,-0.015226624229025742
16.541999999,-0.015135537111867027
16.641999999,-0.015141245726522602
16.741999999,-0.015204456685534544
16.841999999,-0.015230186019581152
16.941999999,-0.015249320989530498
17.041999999,-0.015274483520244696
17.141999999,-0.015247701769920142
17.241999999,-0.01531622240025416
17.341999999,-0.015530279083660377
17.441999999,-0.015662757467374097
17.541999999,-0.015710821451184076
17.641999999,-0.015790477255329116
17.741999999,-0.01581699792938266
17.841999999,-0.015827408768445253
17.941999999,-0.015903126772327855
18.041999999,-0.015859677772780932
18.141999999,-0.015641201186400028
18.241999999,-0.015353485549621352
18.341999999,-0.01497153852292136
18.441999999,-0.014560000963286164
18.541999999,-0.014165444245024786
18.641999999,-0.013699387479817407
18.741999999,-0.013234491131482855
18.841999999,-0.012852234714805896
18.941999999,-0.012414918907528917
19.041999999,-0.01189854555454106
19.141999999,-0.011376233675516954
19.241999999,-0.010776802290985299
19.341999999,-0.010125669072051134
19.441999999,-0.009531815872738445
19.541999999,-0.009005410383871659
19.641999999,-0.00864113776936006
19.741999999,-0.008482266648898373
19.841999999,-0.008424731254320377
19.941999999,-0.008523227374916606
20.041999999,-0.008707894690838429
20.141999999,-0.008813234191434064
20.241999999,-0.008885965657427672
20.341999999,-0.008894601688441816
20.441999999,-0.008833432756878791
20.541999999,-0.008947856110235193
20.641999999,-0.009371950758737643
