time,c,k
9.856,1618.7762537362403,1513.3799021198897
9.866,1854.2694237619517,-24371.818303194068
9.876,1784.5288398717826,-16719.944051859224
9.886,1722.0714369479804,-9851.26954370389
9.896,1668.9272772872716,-4019.7212110542196
9.906,1625.788037854837,721.452427173688
9.916,1591.9696649752157,4426.39626265462
9.926,1566.430614189845,7245.386094198049
9.936,1547.3400073019434,9329.222938918767
9.946,1533.4301993273648,10862.724080241074
9.956,1523.4234203608264,11961.66384478903
9.966,1516.2558100389697,12749.73476094907
9.975999999999999,1511.1378213137887,13309.460154338563
9.986,1507.5763791915924,13706.944593230099
9.996,1505.008491111997,13983.308365528437
10.006,1503.1690200258147,14182.95418830545
10.016,1501.9698888611897,14322.281377211444
10.026,1501.0541478065225,14415.50629123991
10.036,1500.4563399165265,14487.300428726207
10.046,1500.0439946368474,14532.117185186798
10.056,1499.7445695369668,14565.685546233806
10.066,1499.4559010479156,14588.852823255742
10.076,1499.416974761417,14609.464944316374
10.086,1499.325505021469,14614.440560685685
10.096,1499.3403724656005,14628.242673576802
10.106,1499.3208671367843,14629.460756915698
10.116,1499.3161335926395,14635.385759574525
10.126,1499.2662902214288,14636.497884678276
10.136,1499.7306475970322,14643.801423513678
10.146,1500.367746717455,14637.5053617441
10.156,1500.7196130488123,14645.302413809464
10.166,1500.7423251377643,14643.182906535396
10.176,1500.6039495343352,14643.185956349433
10.186,1049.5485027131351,14369.504090116601
10.196,427.2222213734141,13607.869124803223
10.206,125.24555485274946,13531.985114482339
10.216,29.633092337404968,14075.698034064932
10.226,72.51475330464925,15315.028415027075
10.236,213.1801883822598,16884.46289816244
10.246,296.58375061732727,17596.28730950707
10.256,334.31857333231113,17857.14529186025
10.266,242.79072929273516,17331.52823141243
10.276,127.49930062532636,16783.992565182718
10.286,123.32350100255059,16770.36401270162
10.296,71.97131811932185,16666.84127972039
10.306,14.60068577652619,16615.133458359636
10.316,-10.093328137613,16624.576796833036
10.326,-56.012985749255755,16684.66731563015
10.336,-101.77628754556665,16773.427179995862
10.346,-146.23385134704972,16864.0912636738
10.356,-188.5930642368838,16871.71864895881
10.366,-190.85610111188387,16384.662463398567
10.376,-53.34155040312238,14592.988974964523
10.386,146.2176531254167,12556.843253462572
10.396,244.80280568917695,11667.344109188376
10.406,241.81684248999164,11691.595648559445
10.416,321.4708443234826,11136.563464029918
10.426,256.1392734106856,11523.53623648834
10.436,230.3604751744528,11642.663852400845
10.446,72.38357611475,12268.07568891536
10.456,92.6178103386153,12222.53565054079
10.466,41.552678475260706,12274.104734829682
10.475999999999999,-12.512714130058836,12269.451479335305
10.486,-64.89923323187413,12216.948403783059
10.496,-117.32320114680907,12133.368918050031
10.506,-171.28278538056685,12058.6933006779
10.516,-212.84563216197472,12104.562121791443
10.526,-210.5819144182175,12617.961060264292
10.536,-79.16539022090225,14282.254955442035
10.546,172.54693792238382,16732.892514029092
10.556000000000001,316.830472664772,17966.22821681415
10.566,290.22813783493797,17762.51158150122
10.576,268.95819318670016,17621.15968529062
10.586,156.15475181705628,16969.022760109037
10.596,117.64418061364458,16789.974237253802
10.606,70.23949605852862,16622.375848285796
