time,x,y,z,q1,q2,q3,q4
1.942,2.1022549390181666e-07,-9.789519455488671e-13,0.10099799931049347,-0.00019802794849965721,1.55769976117881e-05,-2.164628085665754e-06,0.9999998211860657
2.042,2.4432216605418944e-07,-1.0303527779240151e-12,0.10099798440933228,-0.00037457537837326527,2.8530652343761176e-05,-4.0797713154461235e-06,0.9999997615814209
2.142,2.7976247451988456e-07,-1.245272981953427e-12,0.10099772363901138,-0.0005339438212104142,3.998725151177496e-05,-5.808375135529786e-06,0.9999997615814209
2.242,3.1676424327997665e-07,-1.4786788330237166e-12,0.10099706053733826,-0.0006776042864657938,5.0382215704303235e-05,-7.355200978054199e-06,0.9999997019767761
2.342,3.5535938991415605e-07,-1.683500561178164e-12,0.10099594295024872,-0.0008071092888712883,6.003521048114635e-05,-8.750525012146682e-06,0.9999995827674866
2.442,3.9567859744238376e-07,-1.9538860546869374e-12,0.10099431127309799,-0.0009239903301931918,6.889966607559472e-05,-1.000521569949342e-05,0.9999995231628418
2.5419999989999997,4.351723248419148e-07,-2.2215009779641415e-12,0.10099207609891891,-0.001029200037010014,7.703748997300863e-05,-1.1139150956296362e-05,0.9999994039535522
2.6419999990000003,0.000729558989405632,-4.893319971444043e-09,0.10098926723003387,-0.001123969559557736,8.460371464025229e-05,-1.2170985428383574e-05,0.9999993443489075
2.742,0.025028033182024956,1.6118650819407776e-05,0.10098611563444138,-0.0011987785110250115,-0.0012563850032165647,1.309408344241092e-05,0.9999904036521912
2.842,0.04932953789830208,4.9344143917551264e-05,0.10098284482955933,-0.0012831339845433831,-0.000529408804140985,6.648656562902033e-05,0.9999966025352478
2.942,0.07363514602184296,9.110537939704955e-05,0.10097937285900116,-0.0012655596947297454,0.00024269329151138663,0.00013925644452683628,0.9999964237213135
3.041999999,0.09793611615896225,0.00013898515317123383,0.10097542405128479,-0.0011655549751594663,-0.0008380418294109404,0.00022180126688908786,0.999993622303009
3.142,0.12223731726408005,0.00018938278662972152,0.10097020119428635,-0.0011222998145967722,-0.0006593043799512088,0.00030470205820165575,0.999998927116394
3.242,0.1465422362089157,0.00023786103702150285,0.10096299648284912,-0.0009526044595986605,0.00022397833527065814,0.00037860305747017264,0.999995768070221
3.342,0.17084477841854095,0.0002792007871903479,0.10095337778329849,-0.0006756263901479542,-0.00047403908683918417,0.00043298976379446685,0.9999970197677612
3.442,0.19514621794223785,0.0003085288335569203,0.10094048082828522,-0.0005039087263867259,-0.0006682985695078969,0.0004604770801961422,0.9999992251396179
3.542,0.2194507122039795,0.00032399833435192704,0.10092373937368393,-0.0002883845299948007,0.00011672422260744497,0.0004579887317959219,0.9999968409538269
3.642,0.2437543123960495,0.0003240963851567358,0.10090326517820358,1.0801645657920744e-05,-0.0002077417157124728,0.0004235677479300648,0.9999989867210388
3.742,0.26805591583251953,0.0003063839685637504,0.10087914764881134,0.00018750973686110228,-0.0005857889773324132,0.0003587016835808754,0.999998927116394
3.842,0.29289400577545166,0.0002713403373491019,0.10085171461105347,0.0003134610306005925,-3.617870606831275e-05,0.0002665072097443044,0.9999984502792358
