,time,x,y,z,q1,q2,q3,q4
0,13.585,0.0011315677184107436,0.0011049596543918282,0.17494093302364613,-0.002007072415436032,8.588631007484447e-05,-0.0005975125928249223,0.9999978036288693
1,13.586,0.0011315635991306717,0.0011049204638603155,0.17494098415005735,-0.0020065555438086406,8.577238834051475e-05,-0.0005974807766029143,0.9999978046949247
2,13.587,0.0011315856460493783,0.0011047832850488858,0.17494100283614109,-0.002006011740924729,8.600219827461287e-05,-0.0005974749016246471,0.9999978057697223
3,13.588,0.0011315729610210524,0.001104781317762502,0.17494107261164613,-0.0020069467590337915,8.57313985611179e-05,-0.00059746833596861,0.9999978039207993
4,13.588,0.0011315633122849227,0.001104740224280943,0.17494112866967934,-0.002006426288485587,8.560331183989629e-05,-0.0005974374908445129,0.9999978049946242
5,13.591,0.00113158049875163,0.0011046013372426476,0.17494115250625883,-0.0020058792352959584,8.581909019600754e-05,-0.0005974325214685161,0.9999978060765731
6,13.591,0.0011315637996638782,0.0011045976846453306,0.17494122608376733,-0.0020068098063261105,8.553486790701057e-05,-0.0005974263158596865,0.9999978042375817
7,13.591,0.0011315497901409337,0.0011045550157349404,0.17494128434082065,-0.0020062869354356663,8.539534547919486e-05,-0.0005973958759745588,0.9999978053168593
8,13.597,0.0011315632028699707,0.001104414864159389,0.1749413108671511,-0.0020057378199635585,8.560018662279142e-05,-0.0005973913543903551,0.9999978064035817
9,13.597,0.0011315580575632109,0.001104451506556476,0.17494120592471293,-0.0020073628999848015,8.546310612494861e-05,-0.0005973901335647802,0.9999978031552237
10,13.597,0.0011315689272728966,0.001104330483115306,0.1749410797862359,-0.0020059763322434194,8.557597650422402e-05,-0.0005973899045390796,0.9999978059280975
11,13.597,0.0011316016724271015,0.0011041814264016038,0.1749411832741729,-0.0020058593929881156,8.569922909230701e-05,-0.0005973874477454597,0.9999978061535811
12,13.598,0.0011316103162800572,0.0011042057326957917,0.17494106465629708,-0.002007591231498817,8.557539176425327e-05,-0.000597380025686224,0.9999978026932882
13,13.598,0.0011316397893789334,0.0011040657150673057,0.17494089020066717,-0.002006159912121004,8.575006765851555e-05,-0.0005973798752000681,0.999997805550901
14,13.599,0.0011316903998653067,0.0011039086615121396,0.1749409602907309,-0.0020060639908513886,8.592003672813326e-05,-0.000597382185721836,0.9999978057273606
15,13.599,0.0011317160855093395,0.001103937451463141,0.17494081480125362,-0.002007810687294379,8.583621648032201e-05,-0.0005973718103557173,0.999997802235239
16,13.600999999999999,0.0011317631278555324,0.001103798683161452,0.17494061421443988,-0.002006399310467729,8.604990946027621e-05,-0.0005973683025467933,0.9999978050517566
17,13.602,0.0011318287273364997,0.0011036401473027723,0.17494066608230657,-0.002006315544121811,8.625553545275152e-05,-0.0005973712441547169,0.9999978052003498
18,13.603,0.0011318510105746747,0.0011036070610950903,0.17494069207524976,-0.002007303763986623,8.604893538740207e-05,-0.0005973692246925588,0.9999978032361817
19,13.604,0.0011318785552615134,0.0011035417319783113,0.17494070667504025,-0.002006829168860615,8.598161691718056e-05,-0.00059734400357535,0.9999978042095844
20,13.605,0.00113192574127576,0.0011033898906142516,0.17494069095938125,-0.0020063116360753363,8.626498736974866e-05,-0.0005973403744547505,0.9999978052258154
21,13.606,0.001131933262520701,0.0011033829616809848,0.17494073319373865,-0.002007270611216867,8.604486628573177e-05,-0.0005973310862675076,0.9999978033258613
22,13.607,0.0011319455017096095,0.0011033410638879523,0.17494076381269058,-0.0020067677490276377,8.596430390189922e-05,-0.0005972963354483157,0.9999978043628035
23,13.608,0.0011319814046216973,0.0011032035106530384,0.17494076284754467,-0.0020062342804613724,8.62297768796073e-05,-0.0005972873655855053,0.9999978054157121
24,13.609,0.0011319800602879618,0.001103203374654914,0.17494081721431706,-0.002007181783617528,8.599248959624598e-05,-0.0005972780772966951,0.9999978035403265
25,13.61,0.0011319828630535127,0.0011031651980003233,0.17494085970244203,-0.0020066703669936238,8.589527938458806e-05,-0.0005972445293371722,0.9999978045950959
26,13.611,0.0011320109921006834,0.001103029389659424,0.17494086996381536,-0.002006131056626388,8.614231503998512e-05,-0.0005972370741108263,0.9999978056603737
27,13.612,0.001132003383344912,0.0011030292081702386,0.1749409332047838,-0.0020070719972855484,8.588771238216893e-05,-0.0005972294918548988,0.9999978037987048
28,13.613,0.0011319992636079884,0.001102990018455514,0.17494098433106983,-0.002006555125453116,8.577379040545671e-05,-0.0005971976765903612,0.9999978048647511
29,13.614,0.0011320213107583771,0.0011028528414868475,0.17494100301697404,-0.0020060113215801165,8.600359959005647e-05,-0.0005971918005434891,0.9999978059395491
30,13.615,0.0011320086256918769,0.0011028508737454651,0.17494107279243695,-0.0020069463406373867,8.573280104884618e-05,-0.0005971852341378371,0.9999978040906234
31,13.616,0.001131998976513596,0.0011028097809416607,0.17494112885042087,-0.0020064258698651366,8.560471400646928e-05,-0.0005971543900983197,0.9999978051644395
32,13.617,0.0011320161632087412,0.0011026708956202481,0.17494115268690458,-0.0020058788148810945,8.582049160411454e-05,-0.0005971494199290383,0.9999978062463906
33,13.618,0.0011319994641032876,0.0011026672424271145,0.17494122626442177,-0.002006809386968118,8.553627040629398e-05,-0.000597143213660949,0.9999978044073964
34,13.618,0.0011319854541434525,0.0011026245740420283,0.17494128452147195,-0.00200628651594976,8.539674760244601e-05,-0.0005971127749603706,0.9999978054866647
35,13.62,0.001131998866788545,0.0011024844226513331,0.1749413110477842,-0.00200573739776663,8.560158830223074e-05,-0.0005971082531941824,0.9999978065733911
36,13.621,0.001131993721478419,0.0011025210637956712,0.1749412061053562,-0.0020073624797921825,8.546450861155117e-05,-0.0005971070325472311,0.9999978033250294
37,13.622,0.0011320045913084415,0.0011024000419202016,0.17494107996678077,-0.002005975911341978,8.557737871349552e-05,-0.0005971068043220607,0.9999978060979032
38,13.623,0.001132037336622568,0.001102250984593705,0.17494118345481266,-0.002005858973414518,8.570063032086799e-05,-0.0005971043484019765,0.9999978063233829
39,13.624,0.0011320459805805368,0.0011022752895279504,0.1749410648370846,-0.002007590813480182,8.557679359765612e-05,-0.0005970969269831027,0.9999978028630854
40,13.625,0.001132075453369291,0.0011021352717603774,0.1749408903815071,-0.0020061594946178896,8.575146962511943e-05,-0.0005970967785846465,0.9999978057206949
41,13.626,0.001132126063683418,0.001101978217468441,0.17494096047171098,-0.0020060635744913596,8.592143803466771e-05,-0.0005970990898692045,0.9999978058971521
42,13.627,0.001132151749310145,0.0011020070065920068,0.1749408149823992,-0.002007810271857755,8.583761848121886e-05,-0.0005970887142567232,0.9999978024050267
43,13.629,0.0011321987912308274,0.0011018682386467402,0.1749406143956532,-0.002006398894975638,8.60513116808757e-05,-0.0005970852077314908,0.9999978052215419
44,13.632,0.0011322643904819298,0.00110170970251851,0.17494066626359162,-0.0020063151293648078,8.625693707829525e-05,-0.0005970881494210454,0.999997805370134
45,13.634,0.0011322866736845347,0.0011016766157310803,0.17494069225666128,-0.002007303349950216,8.605033807458836e-05,-0.0005970861292632964,0.999997803405965
46,13.641,0.0011323142180208066,0.0011016112879790585,0.17494070685648816,-0.002006828753808002,8.598301920592208e-05,-0.0005970609085145494,0.9999978043793621
47,13.642,0.0011323614042757079,0.0011014594488177624,0.17494069114074956,-0.002006311219594419,8.626638873611973e-05,-0.0005970572773821307,0.9999978053955959
48,13.647,0.0011323689254763567,0.001101452519976413,0.17494073337521013,-0.0020072701949940307,8.60462686737028e-05,-0.0005970479877378865,0.9999978034956399
49,13.647,0.0011323811642030333,0.0011014106234472148,0.17494076399414116,-0.0020067673320244128,8.596570595855082e-05,-0.0005970132372651994,0.9999978045325736
50,13.648,0.0011324170673194035,0.0011012730722936772,0.17494076302888376,-0.0020062338622561064,8.62311780638034e-05,-0.0005970042656201926,0.9999978055854827
51,13.648,0.0011324157228975614,0.0011012729361430352,0.17494081739570835,-0.0020071813660078575,8.599389187349045e-05,-0.0005969949761746679,0.9999978037100946
52,13.648,0.001132418525181664,0.0011012347605048592,0.17494085988376074,-0.0020066699489437044,8.589668137971683e-05,-0.000596961428901492,0.9999978047648547
53,13.648,0.0011324466544302976,0.0011010989540757563,0.17494087014498652,-0.0020061306375852355,8.614371621969479e-05,-0.0005969539722762377,0.9999978058301329
54,13.648,0.0011324390456002816,0.001101098772243605,0.17494093338595748,-0.002007071579068191,8.588911469588796e-05,-0.0005969463891399977,0.9999978039684612
55,13.648,0.0011324349254064733,0.001101059583346501,0.1749409845121179,-0.0020065547070307914,8.57751924759915e-05,-0.0005969145748331631,0.9999978050344984
56,13.651,0.0011324569727884624,0.0011009224082212158,0.17494100319784225,-0.0020060109021689766,8.600500091049019e-05,-0.0005969086977179862,0.9999978061092968
57,13.651,0.0011324442876836805,0.0011009204400255876,0.1749410729732626,-0.002006945922174626,8.573420354091035e-05,-0.0005969021305629017,0.9999978042603687
58,13.652,0.0011324346380631786,0.0011008793479002335,0.1749411290311968,-0.002006425451178574,8.560611617658352e-05,-0.0005968712876079665,0.9999978053341757
59,13.652,0.0011324518249866435,0.0011007404642961799,0.17494115286758438,-0.002005878394400612,8.582189301517533e-05,-0.0005968663166455191,0.999997806416129
60,13.652,0.001132435125863326,0.0011007368105078227,0.17494122644510987,-0.002006808967544799,8.553767290792997e-05,-0.0005968601097181967,0.999997804577132
61,13.652,0.0011324211154664777,0.0011006941426485956,0.17494128470215647,-0.002006286096398876,8.539814972731736e-05,-0.0005968296722020511,0.9999978056563914
62,13.652,0.0011324345280274996,0.0011005539914432352,0.1749413112284502,-0.002005736975505401,8.560298998269041e-05,-0.0005968251502538691,0.9999978067431214
63,13.652,0.0011324293827138332,0.0011005906313353245,0.17494120628603196,-0.002007362059535578,8.54659110985777e-05,-0.0005968239297854818,0.9999978034947561
64,13.652,0.001132440252663998,0.0011004696110258917,0.17494108014735762,-0.0020059754903771006,8.557878092253791e-05,-0.0005968237023607714,0.99999780626763
65,13.652,0.0011324729981378693,0.0011003205530870442,0.174941183635484,-0.0020058585537777495,8.570203154860044e-05,-0.0005968212473140935,0.9999978064931057
66,13.652,0.0011324816422006421,0.0011003448566617514,0.1749410650179032,-0.0020075903953987308,8.557819542961166e-05,-0.0005968138265354625,0.9999978030328034
67,13.658,0.0011325111146790825,0.0011002048387554963,0.17494089056237758,-0.002006159077052358,8.575287158956565e-05,-0.000596813680224519,0.9999978058904099
68,13.658,0.001132561724820776,0.0011000477837271488,0.1749409606527212,-0.002006063158069133,8.59228393384014e-05,-0.0005968159922717482,0.9999978060668648
69,13.658,0.0011325874104299715,0.0011000765720235392,0.17494081516357435,-0.0020078098563592658,8.583902047865607e-05,-0.0005968056164128641,0.9999978025747355
70,13.658,0.001132634451924933,0.0010999378044349683,0.17494061457689555,-0.002006398479422073,8.605271389726873e-05,-0.000596802111171219,0.9999978053912482
71,13.658,0.001132700050945956,0.0010997792680374182,0.1749406664449052,-0.0020063147145465534,8.625833869892564e-05,-0.0005968050529423596,0.9999978055398393
72,13.658,0.001132722334112722,0.0010997461806704185,0.1749406924381008,-0.002007302935852847,8.605174075613512e-05,-0.000596803032088997,0.9999978035756693
73,13.658,0.0011327498780981766,0.0010996808542832923,0.17494070703796344,-0.0020068283386947996,8.598442148823174e-05,-0.0005967778117086925,0.999997804549061
74,13.659,0.0011327970645934706,0.0010995290173247143,0.1749406913221448,-0.0020063108030534166,8.626779009549332e-05,-0.000596774178564641,0.9999978055652972
75,13.659,0.0011328045857495804,0.0010995220885753718,0.174940733556708,-0.002007269778711494,8.604767105405177e-05,-0.0005967648874634811,0.9999978036653396
76,13.661,0.0011328168240138058,0.0010994801933101462,0.17494076417561757,-0.0020067669149618685,8.596710800688502e-05,-0.0005967301373373192,0.9999978047022647
77,13.662,0.001132852727332169,0.0010993426442198566,0.17494076321024654,-0.0020062334440106014,8.623257923855551e-05,-0.0005967211638996014,0.9999978057551742
78,13.664,0.0011328513828225092,0.0010993425079128818,0.17494081757712274,-0.002007180948361934,8.599529414042413e-05,-0.0005967118733085627,0.9999978038797838
79,13.665,0.0011328541846268821,0.001099304333292565,0.1749408600651021,-0.002006669530856778,8.589808336222257e-05,-0.0005966783267280163,0.9999978049345347
80,13.665,0.0011328823140781268,0.0010991685287768448,0.17494087032617997,-0.0020061302185066464,8.614511738502681e-05,-0.0005966708687074623,0.9999978059998131
81,13.666,0.001132874705175358,0.0010991683466041549,0.17494093356715312,-0.0020070711608121098,8.589051699287262e-05,-0.0005966632846932804,0.9999978041381389
82,13.667,0.0011328705845261274,0.0010991291585274606,0.17494098469318753,-0.0020065542885681184,8.577659452748212e-05,-0.0005966314713452546,0.9999978052041666
83,13.668,0.0011328926321403517,0.0010989919852479129,0.1749410033787318,-0.002006010482716702,8.600640221056614e-05,-0.0005966255931616349,0.9999978062789656
84,13.668,0.0011328799469976295,0.001098990016600536,0.1749410731541094,-0.002006945503669781,8.573560601138734e-05,-0.0005966190252563816,0.9999978044300347
85,13.668,0.0011328702969352774,0.001098948925156214,0.17494112921199356,-0.0020064250324488956,8.560751832382246e-05,-0.0005965881833847544,0.9999978055038329
86,13.669,0.0011328874840869864,0.00109881004327156,0.17494115304828486,-0.0020058779738768595,8.582329440269255e-05,-0.0005965832116275725,0.9999978065857883
87,13.67,0.0011328707849454823,0.0010988063888899419,0.17494122662581843,-0.0020068085480780236,8.553907538550583e-05,-0.000596577004039396,0.9999978047467886
88,13.673,0.0011328567741114585,0.0010987637215585807,0.1749412848828612,-0.0020062856768042468,8.539955182735943e-05,-0.0005965465677059567,0.999997805826039
89,13.675,0.0011328701865880974,0.0010986235705401964,0.1749413114091362,-0.002005736553200889,8.560439163783656e-05,-0.0005965420455742027,0.9999978069127728
90,13.675,0.0011328650412705205,0.0010986602091814894,0.1749412064667275,-0.00200736163923597,8.546731355982859e-05,-0.0005965408252830665,0.9999978036644038
91,13.676,0.001132875911340486,0.0010985391904394487,0.17494108032795397,-0.0020059750693695593,8.558018310526542e-05,-0.0005965405986575489,0.999997806437278
92,13.677,0.001132908656973672,0.0010983901318895029,0.17494118381617457,-0.0020058581340986694,8.570343274959835e-05,-0.000596538144482984,0.9999978066627494
