time,c,k
1.9420000000000002,1200.0,120000.0
2.0420000000000003,1199.9999995668363,119999.99999995668
2.1420000000000003,1199.9999952869634,119999.99999952769
2.242,1200.0003965858484,120000.00004232467
2.342,1199.996125214229,119999.99943567647
2.442,1199.981977530591,119999.9968301181
2.542,1199.9787666647064,119999.99610606913
2.642,1199.9549784433132,119999.98978891101
2.742,1200.0320345625976,120000.01372699469
2.842,1199.8013034659034,119999.92665843658
2.942,1199.8724385049588,119999.95957989998
3.042,1199.4646419965186,119999.74049611781
3.1420000000000003,1199.270095250992,119999.62931302331
3.242,1199.0803338593096,119999.52832598668
3.3420000000000005,1198.1682741165332,119999.08525305435
3.442,1197.0012467970425,119998.54381255731
3.5420000000000007,1196.66266593714,119998.39278712518
3.6420000000000003,1193.4471992852648,119996.96651284643
3.742000000000001,1191.2470193525378,119995.94859690349
3.8420000000000005,1186.707069290289,119993.71097933767
3.9420000000000006,1180.7904004026318,119990.55574937316
4.042000000000001,1174.6546663691097,119986.96595021497
4.142000000000001,1163.9842875047395,119980.02083056612
4.242000000000001,1148.0688215313307,119968.2996742296
4.3420000000000005,1135.0108503961792,119957.51039756955
4.442000000000001,1116.50291201222,119940.85699546049
4.542000000000002,1101.2859458809994,119926.2148135054
4.642000000000001,1074.0409491377463,119898.06855223325
4.742000000000001,1046.706544658932,119867.42785834307
4.842000000000001,1023.082777889276,119839.13678044206
4.942000000000002,987.5474770143261,119794.2754085604
5.042000000000002,947.4462545919081,119740.29156436864
5.142000000000001,910.973183451819,119688.45633077293
5.242000000000002,867.3033044613308,119624.46271506979
5.342000000000002,818.3839106120411,119550.36976675021
5.442000000000002,770.7755368836703,119474.66070595637
5.542000000000002,712.7378608545959,119375.37282720844
5.642000000000002,657.5253737811865,119270.09462966277
5.742000000000003,603.432065051182,119151.64401742212
5.842000000000002,548.7273782706386,119010.05442843537
5.942000000000002,503.7669239871985,118869.4698994385
6.042000000000002,460.9986811036654,118708.55642720184
6.142000000000001,422.3316293744205,118537.29386755388
6.242000000000001,387.79719931893277,118368.10679365855
6.3420000000000005,352.03381487052826,118191.23909563918
6.442,313.3392989668005,118007.26260983193
6.542,273.0057569845136,117822.96826760912
6.6419999999999995,227.19003636259288,117614.42536748572
6.741999999999999,180.87362690244123,117392.54541231014
6.841999999999999,137.96349694857636,117170.19854891302
6.941999999999998,92.84655272627346,116917.35213691385
7.041999999999998,49.93877661851336,116661.69707459537
7.141999999999998,7.084586891332812,116407.3123570413
7.241999999999997,-40.30703361775306,116144.05509012505
7.341999999999997,-92.49094718170124,115872.84785177189
7.441999999999997,-148.23221159505266,115590.02023544518
7.541999999999996,-207.74747300511254,115275.61487839189
7.641999999999996,-261.57185473390723,114961.76522143152
7.7419999999999956,-309.57632070306227,114642.9740044431
7.841999999999995,-354.23054144804445,114288.70794786605
7.941999999999995,-388.49651863850875,113937.4288744227
8.041999999999994,-414.2156323684445,113578.60952573783
8.141999999999994,-432.8097553762206,113212.33103231998
8.241999999999994,-444.6509745173917,112856.12633142031
8.341999999999993,-450.5284822451606,112492.67886118074
8.441999999999993,-448.20738509861906,112115.6873258314
8.541999999999993,-434.66318947688495,111725.09469832113
8.641999999999992,-412.36413932296995,111363.88266517154
8.741999999999992,-381.75691559674397,110993.2103799395
8.841999999999992,-344.84702350950823,110629.04940560412
8.941999999999991,-301.55506634249423,110269.69123911175
9.041999999999991,-253.958232989818,109926.85142747953
9.14199999999999,-198.93552825167242,109578.82561241573
9.24199999999999,-139.89217770564642,109250.87942396365
9.34199999999999,-73.82480588405456,108927.33127831484
9.44199999999999,0.18839109864197123,108607.24803763413
9.54199999999999,79.04196243265699,108303.43883072998
9.641999999999989,155.8265246955598,108033.45294669372
9.741999999999988,242.88080301241908,107751.94405516433
9.841999999999988,331.2485567903857,107492.60122334695
9.941999999999988,422.4825632670428,107249.71896484403
10.041999999999987,520.1766633049239,107011.68472303094
10.141999999999987,613.7611293403544,106800.62514549671
10.241999999999987,703.038226799009,106610.95956346416
10.341999999999986,792.3762555966022,106431.18952607113
10.441999999999986,882.0749073371289,106262.27524924278
10.541999999999986,961.0274262039353,106124.59676382192
10.641999999999985,1052.4828142670576,105978.78129152082
10.741999999999985,1138.7059781107541,105855.23072985194
10.841999999999985,1221.4006607756367,105748.80436722678
10.941999999999984,1307.0289286843697,105649.09686884911
11.041999999999984,1384.0803974020403,105567.46683192576
11.141999999999983,1452.337101209363,105500.91521212753
11.241999999999983,1513.5992078096247,105445.44853366107
11.341999999999983,1565.555393394861,105401.87466615486
11.441999999999982,1613.7233781609057,105364.97138752697
11.541999999999982,1659.4175700133349,105333.72107467253
11.641999999999982,1698.765274926838,105310.22566313214
11.741999999999981,1727.7150721356993,105295.35811780325
11.841999999999981,1762.284222161898,105280.40978503478
11.94199999999998,1786.487828960306,105271.85928143404
12.04199999999998,1801.6802762125972,105267.58794622618
12.14199999999998,1811.9053396359664,105265.39254116964
12.24199999999998,1813.496231299882,105265.15752857213
12.34199999999998,1816.527782557666,105264.93125524485
12.441999999999979,1817.1980460242069,105264.93608902898
12.541999999999978,1815.5421032198612,105264.77592546577
12.641999999999978,1812.495244809928,105264.1827171053
12.741999999999978,1810.8347782683284,105263.6758957687
12.841999999999977,1810.743894960946,105263.63588161246
12.941999999999977,1807.550686160876,105261.55363362633
13.041999999999977,1804.3113104899326,105257.69467840252
13.141999999999976,1803.497143450822,105251.37216326661
13.241999999999976,1805.9947523431085,105247.0243417556
13.341999999999976,1809.3005450473865,105244.33925076839
13.441999999999975,1813.9451370125034,105241.88503525224
13.541999999999975,1816.7405819762341,105240.85718641731
