time,F_gravity,F_s,F_fric,F_gfl,F_gfr,F_grl,F_grr
1.842,-588.5999755859375,7999.921875,-1.0511225809750613e-05,146.85328674316406,147.4248504638672,146.8761444091797,147.44570922851562
1.942,-588.5999755859375,7999.921875,-1.7048316749423975e-06,146.78863525390625,147.46334838867188,146.83804321289062,147.50997924804688
2.042,-588.5999755859375,7999.92333984375,-1.7720037703838898e-06,146.99200439453125,147.3632354736328,146.9371795654297,147.3075714111328
2.142,-588.5999755859375,7999.94970703125,-1.850076387199806e-06,146.94419860839844,147.41470336914062,146.88597106933594,147.35513305664062
2.242,-588.5999755859375,8000.015625,-1.9297474409540882e-06,146.8660430908203,147.41983032226562,146.881103515625,147.4330291748047
2.342,-588.5999755859375,8000.12744140625,-2.0159473024250474e-06,147.10797119140625,147.24855041503906,147.051513671875,147.1919708251953
2.442,-588.5999755859375,8000.29150390625,-1.974672386495513e-06,147.01783752441406,147.35116577148438,146.9491729736328,147.28182983398438
2.5419999989999997,-588.5999755859375,8000.51513671875,-0.036455947905778885,146.85781860351562,147.38253784179688,146.9182891845703,147.44134521484375
2.6419999990000003,-588.5999755859375,7997.21826171875,-1.2157299518585205,134.22344970703125,133.24046325683594,161.06251525878906,160.07357788085938
2.742,-588.5999755859375,8000.37646484375,-1.2167365550994873,152.45468139648438,153.21273803710938,141.08900451660156,141.84356689453125
2.842,-588.5999755859375,8000.44921875,-1.2173686027526855,154.49081420898438,154.78347778320312,139.51678466796875,139.80892944335938
2.942,-588.5999755859375,7999.60986328125,-1.217442274093628,137.42491149902344,135.97825622558594,158.32818603515625,156.86865234375
3.041999999,-588.5999755859375,8002.23291015625,-1.2175798416137695,147.15811157226562,148.04530334472656,146.257080078125,147.13951110839844
3.142,-588.5999755859375,8001.4296875,-1.217670202255249,155.83106994628906,154.86874389648438,139.43409729003906,138.46609497070312
3.242,-588.5999755859375,8002.51953125,-1.2171939611434937,141.9609375,139.48745727539062,154.8314971923828,152.3201141357422
3.342,-588.5999755859375,8004.3330078125,-1.2165380716323853,144.110107421875,144.91807556152344,149.3839111328125,150.1879119873047
3.442,-588.5999755859375,8004.66845703125,-1.2159981727600098,154.3736572265625,154.89529418945312,139.40553283691406,139.92550659179688
3.542,-588.5999755859375,8007.09716796875,-1.215185284614563,145.19873046875,143.3894805908203,150.92062377929688,149.09117126464844
3.642,-588.5999755859375,8009.10791015625,-1.214194416999817,143.3185272216797,143.11671447753906,151.18341064453125,150.98135375976562
3.742,-588.5999755859375,8011.37744140625,-1.2401524782180786,141.53652954101562,142.33876037597656,151.96319580078125,152.7615203857422
3.842,-588.5999755859375,8014.447265625,-1.4088006019592285,145.57974243164062,144.17245483398438,150.13363647460938,148.71417236328125
3.942,-588.5999755859375,8017.091796875,-1.617177963256836,128.3984832763672,128.15663146972656,166.1435546875,165.90133666992188
4.042,-588.5999755859375,8020.78955078125,-1.868703842163086,148.34307861328125,149.87733459472656,144.42977905273438,145.94981384277344
4.142,-588.5999755859375,8024.09765625,-1.953345775604248,148.35462951660156,148.61114501953125,145.68905639648438,145.94517517089844
4.242,-588.5999755859375,8027.2685546875,-1.9551639556884766,144.4416046142578,144.99700927734375,149.30393981933594,149.85745239257812
4.342,-588.5999755859375,8030.78466796875,-1.9574368000030518,147.26040649414062,148.3435821533203,145.95997619628906,147.03602600097656
4.442,-588.5999755859375,8034.44287109375,-1.9125525951385498,156.63551330566406,151.13900756835938,143.25637817382812,137.569091796875
4.542,-588.5999755859375,8038.12744140625,-1.8349639177322388,141.6322479248047,148.36581420898438,146.0670928955078,152.53485107421875
4.642,-588.5999755859375,8041.88720703125,-1.746056318283081,146.50640869140625,148.5271453857422,145.78515625,147.78128051757812
4.742,-588.5999755859375,8045.60693359375,-1.6545194387435913,154.0576629638672,143.92874145507812,150.7052001953125,139.9084014892578
4.842,-588.5999755859375,8049.66845703125,-1.5629621744155884,146.6549835205078,147.568359375,146.7341766357422,147.64247131347656
4.942,-588.5999755859375,8053.6728515625,-1.4734441041946411,146.2943878173828,150.98788452148438,143.37745666503906,147.94027709960938
5.042,-588.5999755859375,8057.650390625,-1.382469892501831,148.9757080078125,147.75767517089844,146.546875,145.31973266601562
5.142,-588.5999755859375,8061.97265625,-1.295224905014038,143.10305786132812,150.20761108398438,144.24002075195312,151.04931640625
5.242,-588.5999755859375,8066.3466796875,-1.2117233276367188,144.11557006835938,148.33648681640625,146.01651000976562,150.13143920898438
5.342,-588.5999755859375,8070.8076171875,-1.1278032064437866,147.76394653320312,143.61598205566406,150.73788452148438,146.48219299316406
5.442,-588.5999755859375,8075.23046875,-1.0443956851959229,145.65028381347656,150.0459442138672,144.31146240234375,148.59230041503906
5.542,-588.5999755859375,8079.390625,-0.9609883427619934,142.52528381347656,149.05882263183594,145.366455078125,151.6494598388672
5.642,-588.5999755859375,8083.201171875,-0.8774983286857605,150.98255920410156,146.47862243652344,147.88502502441406,143.25379943847656
5.742,-588.5999755859375,8086.57470703125,-0.7951104640960693,143.9532928466797,151.71009826660156,142.76522827148438,150.17137145996094
5.842,-588.5999755859375,8089.46484375,-0.7159746885299683,143.01255798339844,149.23199462890625,145.1817169189453,151.17372131347656
5.942,-588.5999755859375,8091.96826171875,-0.6389300227165222,147.6503448486328,147.20428466796875,147.09632873535156,146.6490478515625
6.042,-588.5999755859375,8094.11376953125,-0.5652607083320618,146.2342987060547,147.8119354248047,146.49559020996094,148.0581817626953
6.142,-588.5999755859375,8095.99169921875,-0.4935224950313568,143.76417541503906,147.22988891601562,147.1060028076172,150.49993896484375
6.242,-588.5999755859375,8098.0693359375,-0.4222547113895416,144.94320678710938,147.13291931152344,147.1815185546875,149.3423614501953
6.342,-588.5999755859375,8100.2451171875,-0.35127946734428406,147.77330017089844,150.00927734375,144.30577087402344,146.51165771484375
6.442,-588.5999755859375,8102.544921875,-0.2784236669540405,146.29345703125,148.05136108398438,146.25796508789062,147.99720764160156
6.541999999,-588.5999755859375,8104.96337890625,-0.20329925417900085,145.67816162109375,147.1717529296875,147.13499450683594,148.61509704589844
6.641999999,-588.5999755859375,8107.24462890625,-0.12739580869674683,146.5324249267578,148.5740509033203,145.73851013183594,147.7550048828125
6.741999999,-588.5999755859375,8109.404296875,-0.049929700791835785,144.37001037597656,149.55043029785156,144.8289337158203,149.85061645507812
6.841999999,-588.5999755859375,8111.43359375,0.02707122452557087,145.5657958984375,148.72378540039062,145.60606384277344,148.70436096191406
6.941999999,-588.5999755859375,8113.41064453125,0.10288802534341812,148.0500946044922,147.96873474121094,146.33128356933594,146.24989318847656
7.041999999,-588.5999755859375,8115.4384765625,0.17770801484584808,145.55543518066406,147.19647216796875,147.11166381835938,148.73643493652344
7.141999999,-588.5999755859375,8117.6162109375,0.25060752034187317,147.00962829589844,148.0211181640625,146.28199768066406,147.28726196289062
7.241999999,-588.5999755859375,8119.9814453125,0.3234766125679016,147.30014038085938,148.0614013671875,146.2403564453125,146.9980926513672
7.341999999,-588.5999755859375,8122.44873046875,0.39669373631477356,146.34043884277344,148.91590881347656,145.40402221679688,147.9396514892578
