%time,field.header.seq,field.header.stamp,field.header.frame_id,field.state0,field.state1,field.state2,field.state3,field.state4,field.state5,field.state6,field.state7,field.state8,field.state9,field.state10,field.state11,field.state12,field.state13,field.state14,field.state15,field.state16,field.state17,field.state18,field.state19,field.state20,field.state21,field.state22,field.state23,field.state24,field.state25,field.state26,field.state27,field.state28
1736346544359496534,38,1736346544192610263,,0.0,0.0,0.3964630365371704,1.0,0.0,0.0,0.0,0.0,0.0,-0.23656722903251648,0.0,-2.500657291706525e-27,-2.1397827550239957e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014395081670954823,-0.0014395081670954823,-0.0014395081670954823,-0.0014395081670954823,-0.024062851443886757,-0.024062851443886757,-0.024062851443886757,-0.024062851443886757
1736346544359534688,39,1736346544198823213,,0.0,0.0,0.3962225019931793,1.0,0.0,0.0,0.0,0.0,0.0,-0.2444785088300705,0.0,-2.4955503032729934e-27,-2.1187632780591234e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014616884291172028,-0.0014616884291172028,-0.0014616884291172028,-0.0014616884291172028,-0.020303182303905487,-0.020303182303905487,-0.020303182303905487,-0.020303182303905487
1736346544359567721,40,1736346544201991796,,0.0,0.0,0.3962225019931793,1.0,0.0,0.0,0.0,0.0,0.0,-0.2444785088300705,0.0,-2.4955503032729934e-27,-2.1187632780591234e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014616884291172028,-0.0014616884291172028,-0.0014616884291172028,-0.0014616884291172028,-0.020303182303905487,-0.020303182303905487,-0.020303182303905487,-0.020303182303905487
1736346544359602057,41,1736346544208259344,,0.0,0.0,0.3959740698337555,1.0,0.0,0.0,0.0,0.0,0.0,-0.2523898184299469,0.0,-2.4550000408869146e-27,-2.092138607236952e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014801459619775414,-0.0014801459619775414,-0.0014801459619775414,-0.0014801459619775414,-0.016622398048639297,-0.016622398048639297,-0.016622398048639297,-0.016622398048639297
1736346544359644049,42,1736346544211157798,,0.0,0.0,0.3959740698337555,1.0,0.0,0.0,0.0,0.0,0.0,-0.2523898184299469,0.0,-2.4550000408869146e-27,-2.092138607236952e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014801459619775414,-0.0014801459619775414,-0.0014801459619775414,-0.0014801459619775414,-0.016622398048639297,-0.016622398048639297,-0.016622398048639297,-0.016622398048639297
1736346544359684396,43,1736346544214349985,,0.0,0.0,0.3959740698337555,1.0,0.0,0.0,0.0,0.0,0.0,-0.2523898184299469,0.0,-2.4550000408869146e-27,-2.092138607236952e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014801459619775414,-0.0014801459619775414,-0.0014801459619775414,-0.0014801459619775414,-0.016622398048639297,-0.016622398048639297,-0.016622398048639297,-0.016622398048639297
1736346544359724616,44,1736346544217452526,,0.0,0.0,0.3959740698337555,1.0,0.0,0.0,0.0,0.0,0.0,-0.2523898184299469,0.0,-2.4550000408869146e-27,-2.092138607236952e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014801459619775414,-0.0014801459619775414,-0.0014801459619775414,-0.0014801459619775414,-0.016622398048639297,-0.016622398048639297,-0.016622398048639297,-0.016622398048639297
1736346544359742460,45,1736346544223464727,,0.0,0.0,0.39545348286628723,1.0,0.0,0.0,0.0,0.0,0.0,-0.26821237802505493,0.0,-2.338859724485559e-27,-2.0178697886277366e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001506282133050263,-0.001506282133050263,-0.001506282133050263,-0.001506282133050263,-0.009593337774276733,-0.009593337774276733,-0.009593337774276733,-0.009593337774276733
1736346544359744722,46,1736346544226588249,,0.0,0.0,0.39545348286628723,1.0,0.0,0.0,0.0,0.0,0.0,-0.26821237802505493,0.0,-2.338859724485559e-27,-2.0178697886277366e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001506282133050263,-0.001506282133050263,-0.001506282133050263,-0.001506282133050263,-0.009593337774276733,-0.009593337774276733,-0.009593337774276733,-0.009593337774276733
1736346544385182197,47,1736346544378133058,,0.0,0.0,0.39545348286628723,1.0,0.0,0.0,0.0,0.0,0.0,-0.26821237802505493,0.0,-2.338859724485559e-27,-2.0178697886277366e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001506282133050263,-0.001506282133050263,-0.001506282133050263,-0.001506282133050263,-0.009593337774276733,-0.009593337774276733,-0.009593337774276733,-0.009593337774276733
1736346544401493682,48,1736346544399619579,,0.0,0.0,0.39545348286628723,1.0,0.0,0.0,0.0,0.0,0.0,-0.26821237802505493,0.0,-2.338859724485559e-27,-2.0178697886277366e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001506282133050263,-0.001506282133050263,-0.001506282133050263,-0.001506282133050263,-0.009593337774276733,-0.009593337774276733,-0.009593337774276733,-0.009593337774276733
1736346544417183718,49,1736346544416209936,,0.0,0.0,0.39490121603012085,1.0,0.0,0.0,0.0,0.0,0.0,-0.28403496742248535,1.966575016452617e-23,-6.486204320433136e-23,1.4689550599483307e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001518912729807198,-0.001518912729807198,-0.001518912729807198,-0.001518912729807198,-0.003143204841762781,-0.003143204841762781,-0.003143204841762781,-0.003143204841762781
1736346544432844975,50,1736346544429368972,,0.0,0.0,0.39490121603012085,1.0,0.0,0.0,0.0,0.0,0.0,-0.28403496742248535,1.966575016452617e-23,-6.486204320433136e-23,1.4689550599483307e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001518912729807198,-0.001518912729807198,-0.001518912729807198,-0.001518912729807198,-0.003143204841762781,-0.003143204841762781,-0.003143204841762781,-0.003143204841762781
1736346544449598735,51,1736346544447887659,,0.0,0.0,0.39461323618888855,1.0,0.0,0.0,0.0,0.0,0.0,-0.29194626212120056,4.708338085372593e-23,-1.5528773619841206e-22,2.894859092164043e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015205573290586472,-0.0015205573290586472,-0.0015205573290586472,-0.0015205573290586472,-0.00017702483455650508,-0.00017702483455650508,-0.00017702483455650508,-0.00017702483455650508
1736346544460260395,52,1736346544456387519,,0.0,0.0,0.39461323618888855,1.0,0.0,0.0,0.0,0.0,0.0,-0.29194626212120056,4.708338085372593e-23,-1.5528773619841206e-22,2.894859092164043e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015205573290586472,-0.0015205573290586472,-0.0015205573290586472,-0.0015205573290586472,-0.00017702483455650508,-0.00017702483455650508,-0.00017702483455650508,-0.00017702483455650508
1736346544483201734,53,1736346544480659961,,0.0,0.0,0.3943173289299011,1.0,0.0,0.0,0.0,0.0,0.0,-0.29985755681991577,1.211606920490138e-22,-3.9960101301478444e-22,3.715349162657544e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015193293802440166,-0.0015193293802440166,-0.0015193293802440166,-0.0015193293802440166,0.0025992407463490963,0.0025992407463490963,0.0025992407463490963,0.0025992407463490963
1736346544492718436,54,1736346544491510629,,0.0,0.0,0.3943173289299011,1.0,0.0,0.0,0.0,0.0,0.0,-0.29985755681991577,1.211606920490138e-22,-3.9960101301478444e-22,3.715349162657544e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015193293802440166,-0.0015193293802440166,-0.0015193293802440166,-0.0015193293802440166,0.0025992407463490963,0.0025992407463490963,0.0025992407463490963,0.0025992407463490963
1736346544519644142,55,1736346544514597177,,0.0,0.0,0.39401352405548096,1.0,0.0,0.0,0.0,0.0,0.0,-0.307768851518631,2.339983083245452e-22,-7.717491111698004e-22,6.8749245209125054e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015154246939346194,-0.0015154246939346194,-0.0015154246939346194,-0.0015154246939346194,0.00517552625387907,0.00517552625387907,0.00517552625387907,0.00517552625387907
1736346544525185034,56,1736346544523500680,,0.0,0.0,0.39401352405548096,1.0,0.0,0.0,0.0,0.0,0.0,-0.307768851518631,2.339983083245452e-22,-7.717491111698004e-22,6.8749245209125054e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015154246939346194,-0.0015154246939346194,-0.0015154246939346194,-0.0015154246939346194,0.00517552625387907,0.00517552625387907,0.00517552625387907,0.00517552625387907
1736346544543146095,57,1736346544540638923,,0.0,0.0,0.39370179176330566,1.0,0.0,0.0,0.0,0.0,0.0,-0.3156801164150238,2.968982398874257e-22,-9.79198476123088e-22,9.841238848577154e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015090471133589745,-0.0015090471133589745,-0.0015090471133589745,-0.0015090471133589745,0.007543978281319141,0.007543978281319141,0.007543978281319141,0.007543978281319141
1736346544553590058,58,1736346544548418283,,0.0,0.0,0.39370179176330566,1.0,0.0,0.0,0.0,0.0,0.0,-0.3156801164150238,2.968982398874257e-22,-9.79198476123088e-22,9.841238848577154e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015090471133589745,-0.0015090471133589745,-0.0015090471133589745,-0.0015090471133589745,0.007543978281319141,0.007543978281319141,0.007543978281319141,0.007543978281319141
1736346544588149346,59,1736346544565965652,,0.0,0.0,0.39338216185569763,1.0,0.0,0.0,0.0,0.0,0.0,-0.323591411113739,3.4404001222535607e-22,-1.1346761195403793e-21,1.3744190038106682e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015004075830802321,-0.0015004075830802321,-0.0015004075830802321,-0.0015004075830802321,0.009698904119431973,0.009698904119431973,0.009698904119431973,0.009698904119431973
1736346544592514077,60,1736346544586677312,,0.0,0.0,0.39338216185569763,1.0,0.0,0.0,0.0,0.0,0.0,-0.323591411113739,3.4404001222535607e-22,-1.1346761195403793e-21,1.3744190038106682e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015004075830802321,-0.0015004075830802321,-0.0015004075830802321,-0.0015004075830802321,0.009698904119431973,0.009698904119431973,0.009698904119431973,0.009698904119431973
1736346544608509467,61,1736346544608179092,,0.0,0.0,0.3930546045303345,1.0,0.0,0.0,0.0,0.0,0.0,-0.3315027058124542,6.350965919592136e-22,-2.0946056898659216e-21,2.5041496821227095e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014897213550284505,-0.0014897213550284505,-0.0014897213550284505,-0.0014897213550284505,0.011636708863079548,0.011636708863079548,0.011636708863079548,0.011636708863079548
1736346544621219715,62,1736346544617192506,,0.0,0.0,0.3930546045303345,1.0,0.0,0.0,0.0,0.0,0.0,-0.3315027058124542,6.350965919592136e-22,-2.0946056898659216e-21,2.5041496821227095e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014897213550284505,-0.0014897213550284505,-0.0014897213550284505,-0.0014897213550284505,0.011636708863079548,0.011636708863079548,0.011636708863079548,0.011636708863079548
1736346544639815499,63,1736346544637456178,,0.0,0.0,0.3927191495895386,1.0,0.0,0.0,0.0,0.0,0.0,-0.33941400051116943,9.123418454515596e-22,-3.0089841848481445e-21,3.528430969436151e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014772065915167332,-0.0014772065915167332,-0.0014772065915167332,-0.0014772065915167332,0.013355787843465805,0.013355787843465805,0.013355787843465805,0.013355787843465805
1736346544642999765,64,1736346544642720937,,0.0,0.0,0.3927191495895386,1.0,0.0,0.0,0.0,0.0,0.0,-0.33941400051116943,9.123418454515596e-22,-3.0089841848481445e-21,3.528430969436151e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014772065915167332,-0.0014772065915167332,-0.0014772065915167332,-0.0014772065915167332,0.013355787843465805,0.013355787843465805,0.013355787843465805,0.013355787843465805
1736346544654373680,65,1736346544653947830,,0.0,0.0,0.39237576723098755,1.0,0.0,0.0,0.0,0.0,0.0,-0.34732529520988464,1.054044488094303e-21,-3.476331537417802e-21,4.0770458202441915e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014630821533501148,-0.0014630821533501148,-0.0014630821533501148,-0.0014630821533501148,0.014856401830911636,0.014856401830911636,0.014856401830911636,0.014856401830911636
1736346544662141202,66,1736346544661859750,,0.0,0.0,0.39237576723098755,1.0,0.0,0.0,0.0,0.0,0.0,-0.34732529520988464,1.054044488094303e-21,-3.476331537417802e-21,4.0770458202441915e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014630821533501148,-0.0014630821533501148,-0.0014630821533501148,-0.0014630821533501148,0.014856401830911636,0.014856401830911636,0.014856401830911636,0.014856401830911636
